Date,Open,High,Low,Close,Volume
2025-01-23,86.54,88.38,86.27,88.34,30240482
2025-01-24,88.43,88.83,86.01,86.75,36239633
2025-01-27,77.58,81.03,77.18,79.14,80910839
2025-01-28,79.58,83.1699,78.0,82.65,50516695
2025-01-29,82.91,82.98,80.26,82.14,59240550
2025-01-30,83.47,84.585,80.86,83.17,57585510
2025-01-31,84.92,87.09,82.18,82.72,59334629
2025-02-03,78.53,81.99,77.34,80.72,76628493
2025-02-04,80.91,83.938,80.73,83.65,42317266
2025-02-05,82.35,84.82,81.76,84.74,39847434
2025-02-06,84.96,86.13,84.1948,86.01,38215508
2025-02-07,86.26,87.19,82.3513,82.73,55435239
2025-02-10,84.73,86.2,84.5,85.64,32797059
2025-02-11,84.07,85.99,84.01,85.03,31301402
2025-02-12,82.28,85.605,82.1,85.2,48493304
2025-02-13,85.98,88.955,85.58,88.79,46460081
2025-02-14,88.81,90.18,88.6,89.83,38028741
2025-02-18,90.63,90.75,88.75,90.39,34412579
2025-02-19,90.0,91.12,88.92,90.4,34257893
2025-02-20,90.05,90.23,86.89,89.3,40133030
2025-02-21,89.77,89.79,83.47,83.71,59313609
2025-02-24,84.5,85.05,80.5,80.69,53233725
2025-02-25,80.33,80.38,75.78,77.62,75597231
2025-02-26,78.58,80.4499,76.69,78.12,63175733
2025-02-27,79.72,80.17,71.48,71.64,103375523
2025-02-28,71.46,75.17,70.075,74.92,93178974
2025-03-03,76.37,77.05,68.435,70.08,91945843
2025-03-04,68.76,72.77,66.01,69.31,130836942
2025-03-05,69.55,72.685,67.49,72.01,100633296
2025-03-06,68.39,70.4962,65.1716,66.04,122822703
2025-03-07,65.56,68.01,62.89,67.41,135177332
2025-03-10,64.0,64.19,57.88,59.81,156135791
2025-03-11,59.4,61.85,57.3707,59.11,139489295
2025-03-12,61.94,62.66,59.16,61.13,141918576
2025-03-13,60.8,60.85,57.04,57.79,121227286
2025-03-14,59.71,62.23,59.5,61.89,99108544
